"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005128",6971,32.87,0.01,0.01,49.02,0.34,1.84,39.67,76.7,0.12,0.23
"E01005129",300,69.21,0.45,0.39,55.56,2.14,0.76,28.47,24.66,0.47,0.54
"E01005130",350,68.45,0.42,0.35,60.15,2.49,1.03,27.61,24.16,0.54,0.44
"E01005132",399,67.42,0.42,0.34,68.82,2.16,0.69,29.33,23.22,0.46,0.52
"E01005133",115,74.76,0.5,0.38,52.61,2.99,1.51,26.84,25.91,0.66,0.61
"E01005135",1113,58.04,0.41,0.29,47.8,1.85,0.86,22.24,23.36,0.57,0.4
"E01005136",4346,40.59,0.24,0.23,34.42,1.31,1.28,17.15,23.44,0.31,0.28
"E01005138",152,73.62,0.46,0.36,73.7,2.3,1.11,34.17,16.28,0.54,0.42
"E01005139",7705,31.11,0.21,0.18,27.11,1.06,0.46,18.74,20.17,0.27,0.18
"E01005140",5311,37.44,0.22,0.2,26.45,1.46,1.04,19.69,25.45,0.24,0.29
"E01005141",412,67.23,0.4,0.36,61.97,2.44,1.08,23.87,16.64,0.44,0.38
"E01005142",264,70.16,0.49,0.34,50.42,2.37,1.31,26.62,20.44,0.49,0.71
"E01005143",3430,43.95,0.34,0.2,32.73,1.29,0.69,34.34,22.11,0.35,0.71
"E01005145",6309,34.61,0.25,0.13,23.28,1.06,0.63,29.51,41.97,0.25,0.57
"E01005146",4532,39.92,0.27,0.18,28.59,1.26,0.83,31.7,36.67,0.3,0.36
"E01005147",2264,49.8,0.37,0.21,40.48,1.55,1.07,28.79,26.61,0.41,0.77
"E01005149",6332,34.53,0.24,0.14,34.09,1.13,0.64,27.75,31.95,0.23,0.54
"E01005150",11557,23.78,0.1,0.08,1,1.18,0.39,18.5,64.44,0.07,0.34
"E01005151",12893,21.76,0.12,0.11,1.69,1.12,0.12,24.06,34.68,0.06,0.28
"E01005152",21593,12.17,0.07,0.06,0.54,0.52,0.55,5.6,28.15,0.04,0.21
"E01005153",15810,18.09,0.1,0.07,1.82,0.83,0.69,12.14,40.51,0.08,0.31
"E01005154",17897,15.72,0.06,0.06,0.4,0.64,0.48,16.86,49.25,0.05,0.25
"E01005155",23211,10.84,0.07,0.06,1.45,0.37,-0.16,9.06,33.19,0.07,0.19
"E01005156",20757,12.92,0.04,0.05,0.12,0.55,0.83,8.19,35.04,0.02,0.11
"E01005157",25675,8.82,0.04,0.04,0.7,-0.19,0.83,11.38,20.17,0.04,0.08
"E01005158",7961,30.56,0.18,0.14,9.3,1.12,1.22,18.03,39.4,0.16,0.34
"E01005159",17226,16.47,0.09,0.07,1.78,0.65,0.78,10.5,35.14,0.08,0.25
"E01005160",6746,33.42,0.18,0.15,15.62,0.84,1.88,19.39,37.29,0.18,0.27
"E01005161",9079,28.19,0.18,0.14,34.11,0.83,0.4,19.99,26.75,0.31,0.14
"E01005162",7819,30.86,0.21,0.16,24.55,1.21,0.38,18.89,28.9,0.2,0.34
"E01005163",6469,34.17,0.22,0.18,18.79,0.95,0.71,21.22,48.54,0.26,0.29
"E01005164",1519,54.67,0.32,0.3,46.81,2.04,0.75,24.87,30.21,0.34,0.43
